time,seconds_elapsed,y,z,x
1711815479886374700,1.361374755859375,-0.00033664703369140625,0.08599472045898438,-0.05714726448059082
1711815479896476000,1.371475830078125,-0.13819265365600586,0.5184130668640137,0.07872343063354492
1711815479906607900,1.38160791015625,-0.22941064834594727,1.0794787406921387,0.3314779996871948
1711815479916709000,1.391709228515625,-0.22405195236206055,1.4749259948730469,0.47211265563964844
1711815479926840800,1.4018408203125,-0.11260175704956055,1.7505130767822266,0.4826244115829468
1711815479936972800,1.411972900390625,0.10011625289916992,1.7915449142456055,0.5130124092102051
1711815479947074000,1.422073974609375,0.27556419372558594,1.8191184997558594,0.48478037118911743
1711815479957206000,1.4322060546875,0.17139339447021484,2.327012538909912,0.4232974648475647
1711815479967307300,1.442307373046875,0.06953048706054688,3.9807233810424805,0.5165504217147827
1711815479977439200,1.452439208984375,0.15291929244995117,2.226703643798828,0.27857813239097595
1711815479987571000,1.462571044921875,-0.08409357070922852,1.6576738357543945,0.457273930311203
1711815479997672200,1.472672119140625,0.11441278457641602,1.9888992309570312,0.6231259703636169
1711815480007804200,1.48280419921875,0.061704158782958984,1.5273857116699219,0.44623178243637085
1711815480017905400,1.492905517578125,-0.06601953506469727,1.267287254333496,0.6763372421264648
1711815480028037400,1.503037353515625,-0.03395414352416992,1.8691768646240234,1.0623468160629272
1711815480038169000,1.513169189453125,-0.12469482421875,2.6943511962890625,1.4141381978988647
1711815480048270300,1.523270263671875,-0.4122791290283203,3.006246566772461,1.5883569717407227
1711815480058402300,1.53340234375,-0.627716064453125,2.9643964767456055,1.4104647636413574
1711815480068503600,1.543503662109375,-0.2809419631958008,2.662374496459961,1.6211285591125488
1711815480078635500,1.553635498046875,1.4351706504821777,1.3507614135742188,2.4780309200286865
1711815480088767200,1.563767333984375,0.7749423980712891,-0.3103199005126953,1.5340194702148438
1711815480098899000,1.57389892578125,1.093459129333496,-1.0657110214233398,2.03537654876709
1711815480109000400,1.58400048828125,0.7836718559265137,-1.107645034790039,1.8458576202392578
1711815480119132200,1.594132080078125,-0.0355076789855957,-0.2595405578613281,1.1664677858352661
1711815480129233700,1.604233642578125,-0.9305033683776855,1.0955438613891602,0.6259317994117737
1711815480139365400,1.614365478515625,-1.0487885475158691,1.8813343048095703,0.7494519352912903
1711815480149466600,1.624466552734375,-1.0777111053466797,1.806142807006836,0.9248818159103394
1711815480159598600,1.6345986328125,-1.4421048164367676,1.68707275390625,0.7857621312141418
1711815480169730300,1.644730224609375,-1.3160042762756348,1.8120803833007812,0.9397386312484741
1711815480179831800,1.654831787109375,-1.2592711448669434,1.068568229675293,1.1499022245407104
1711815480189963500,1.664963623046875,-1.550243854522705,0.22817420959472656,0.9779174327850342
1711815480200095200,1.67509521484375,-1.8232927322387695,-0.06423664093017578,0.6963951587677002
1711815480210196700,1.68519677734375,-1.4456868171691895,-0.14534282684326172,0.9137847423553467
1711815480220328400,1.695328369140625,-0.9241065979003906,-0.19964218139648438,1.3169846534729004
1711815480230430000,1.705429931640625,-1.176623821258545,-0.22759056091308594,1.249923586845398
1711815480240561700,1.715561767578125,-1.3809690475463867,-0.17572879791259766,1.1348230838775635
1711815480250693400,1.725693359375,-1.521336555480957,-0.30761051177978516,1.0781575441360474
1711815480260825300,1.735825439453125,-1.746577262878418,-0.4086599349975586,0.743675708770752
1711815480270926600,1.745926513671875,-1.9026198387145996,-0.3683195114135742,0.23514124751091003
1711815480281058600,1.75605859375,-1.4313554763793945,-0.090087890625,0.2282891571521759
1711815480291159800,1.766159912109375,-0.8638448715209961,-0.09190845489501953,0.4508691132068634
1711815480301291500,1.77629150390625,-0.5869321823120117,-1.103602409362793,0.2923203110694885
1711815480311393000,1.78639306640625,0.2773895263671875,-1.790201187133789,0.5650596618652344
1711815480321524700,1.796524658203125,0.16086816787719727,-2.3202438354492188,0.628709077835083
1711815480331626200,1.806626220703125,-0.18246936798095703,-2.5037107467651367,0.2878403663635254
1711815480341758000,1.816758056640625,-0.4132533073425293,-2.531881332397461,-0.18289203941822052
1711815480351889700,1.8268896484375,-0.44586992263793945,-2.6398181915283203,-0.45480912923812866
1711815480361991200,1.8369912109375,-0.47341346740722656,-2.88424015045166,-0.5498360395431519
1711815480372123000,1.847122802734375,-0.6562185287475586,-3.025209426879883,-0.564471960067749
1711815480382254800,1.8572548828125,-0.7868523597717285,-3.0031299591064453,-0.4543048143386841
1711815480392386600,1.867386474609375,-0.9388842582702637,-3.026948928833008,-0.2919778823852539
1711815480402487800,1.87748779296875,-0.9407219886779785,-2.9477434158325195,-0.30383387207984924
1711815480412619800,1.887619873046875,-0.9953923225402832,-2.8356761932373047,-0.3981340229511261
1711815480422721000,1.897720947265625,-1.2999162673950195,-3.0130138397216797,-0.6796163320541382
1711815480432853000,1.90785302734375,-1.5702261924743652,-3.066647529602051,-1.1134555339813232
1711815480442954200,1.917954345703125,-1.596029281616211,-2.749065399169922,-1.4797230958938599
1711815480453086000,1.9280859375,-1.5421061515808105,-2.386138916015625,-1.6656371355056763
1711815480463218000,1.938218017578125,-1.5747442245483398,-2.0497217178344727,-1.6353833675384521
1711815480473319200,1.948319091796875,-1.6085028648376465,-1.6488676071166992,-1.5354143381118774
1711815480483481600,1.958481689453125,-1.1096739768981934,-1.1964054107666016,-0.9212400913238525
1711815480493582800,1.968582763671875,0.3123607635498047,-0.9843053817749023,0.2844280004501343
1711815480503714800,1.97871484375,0.33159589767456055,-0.9711189270019531,0.5117512941360474
1711815480513846500,1.988846435546875,0.19191789627075195,-0.5893335342407227,0.47885680198669434
